Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
Diabetes & Metabolic Syndrome-Clinical Research & Reviews	DIAB MET SYND CLIN R	ELSEVIER SCI LTD	1871-4021	1878-0334	3.4	3.9	Q2	75/191
SAUDI PHARMACEUTICAL JOURNAL	SAUDI PHARM J	SPRINGERNATURE	1319-0164	2213-7475	3.4	3.8	Q2	113/352
Emotion Review	EMOT REV	SAGE PUBLICATIONS INC	1754-0739	1754-0747	3.4	6.2	Q1	29/221
Global Ecology and Conservation	GLOB ECOL CONSERV	ELSEVIER		2351-9894	3.4	4.3	Q1	14/73
HEPATOLOGY RESEARCH	HEPATOL RES	WILEY	1386-6346	1872-034X	3.4	3.3	Q2	47/147
Conflict and Health	CONFL HEALTH	BMC	1752-1505	1752-1505	3.4	4.1	Q1	78/419
Journal of Breath Research	J BREATH RES	IOP Publishing Ltd	1752-7155	1752-7163	3.4	4.1	Q2	29/108
APPLIED GEOCHEMISTRY	APPL GEOCHEM	PERGAMON-ELSEVIER SCIENCE LTD	0883-2927	1872-9134	3.4	3.6	Q1	21/100
GEOSTANDARDS AND GEOANALYTICAL RESEARCH	GEOSTAND GEOANAL RES	WILEY	1639-4488	1751-908X	3.4	4.2	Q1	21/100
PARKINSONISM & RELATED DISORDERS	PARKINSONISM RELAT D	ELSEVIER SCI LTD	1353-8020	1873-5126	3.4	3.8	Q2	78/285
BMJ Open Respiratory Research	BMJ OPEN RESPIR RES	BMJ PUBLISHING GROUP		2052-4439	3.4	3.5	Q2	29/108
ARCHIVES OF MEDICAL RESEARCH	ARCH MED RES	ELSEVIER SCIENCE INC	0188-4409	1873-5487	3.4	4.1	Q2	75/195
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION	CANCER EPIDEM BIOMAR	AMER ASSOC CANCER RESEARCH	1055-9965	1538-7755	3.4	4.2	Q1	78/419
Drug Healthcare and Patient Safety	DRUG HEALTHC PATIENT	DOVE MEDICAL PRESS LTD	1179-1365	1179-1365	3.4	2.7	Q1	37/185
ENVIRONMENTAL & RESOURCE ECONOMICS	ENVIRON RESOUR ECON	SPRINGER	0924-6460	1573-1502	3.4	3.9	Q1	97/617
Indian Journal of Dermatology Venereology & Leprology	INDIAN J DERMATOL VE	SCIENTIFIC SCHOLAR LLC	0378-6323	0973-3922	3.4	3.3	Q1	19/96
MEASUREMENT SCIENCE and TECHNOLOGY	MEAS SCI TECHNOL	IOP Publishing Ltd	0957-0233	1361-6501	3.4	2.9	Q1	37/175
Advances in Ophthalmology Practice and Research	ADV OPHTHALMOL PRACT	ELSEVIER		2667-3762	3.4	3.5	Q1	16/98
CRYSTAL GROWTH & DESIGN	CRYST GROWTH DES	AMER CHEMICAL SOC	1528-7483	1528-7505	3.4	3.4	Q1	5/31
DISPLAYS	DISPLAYS	ELSEVIER	0141-9382	1872-7387	3.4	3.5	Q2	39/125
Journal of Neuromuscular Diseases	J NEUROMUSCULAR DIS	IOS PRESS	2214-3599	2214-3602	3.4	3.6	Q2	78/285
Ticks and Tick-Borne Diseases	TICKS TICK-BORNE DIS	ELSEVIER GMBH	1877-959X	1877-9603	3.4	3.2	Q1	6/47
ACS Chemical Health & Safety	ACS CHEM HEALTH SAFE	AMER CHEMICAL SOC		1878-0504	3.4	3.2	Q1	78/419
INFORMATION SYSTEMS	INFORM SYST	PERGAMON-ELSEVIER SCIENCE LTD	0306-4379	1873-6076	3.4	3.5	Q2	101/258
JAMIA Open	JAMIA OPEN	OXFORD UNIV PRESS		2574-2531	3.4	3.2	Q1	37/185
BMC BIOTECHNOLOGY	BMC BIOTECHNOL	BMC		1472-6750	3.4	3.6	Q2	66/177
Competition & Change	COMPET CHANG	SAGE PUBLICATIONS LTD	1024-5294	1477-2221	3.4	4.3	Q1	22/173
JOURNAL OF ENGINEERING DESIGN	J ENG DESIGN	TAYLOR & FRANCIS LTD	0954-4828	1466-1837	3.4	3.1	Q1	37/175
Nature and Science of Sleep	NAT SCI SLEEP	DOVE MEDICAL PRESS LTD	1179-1608	1179-1608	3.4	3.5	Q2	78/285
PHYSICS IN MEDICINE AND BIOLOGY	PHYS MED BIOL	IOP Publishing Ltd	0031-9155	1361-6560	3.4	3.6	Q1	44/212
AGING CLINICAL AND EXPERIMENTAL RESEARCH	AGING CLIN EXP RES	SPRINGER	1594-0667	1720-8319	3.4	3.7	Q2	33/73
Atmospheric Environment-X	ATMOS ENVIRON-X	ELSEVIER SCI LTD		2590-1621	3.4	4.0	Q2	42/111
Ecological Complexity	ECOL COMPLEX	ELSEVIER	1476-945X	1476-9840	3.4	3.3	Q2	52/200
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES	J GEOPHYS RES-ATMOS	AMER GEOPHYSICAL UNION	2169-897X	2169-8996	3.4	4.4	Q2	42/111
CONNECTION SCIENCE	CONNECT SCI	TAYLOR & FRANCIS LTD	0954-0091	1360-0494	3.4	3.3	Q2	38/147
Pituitary	PITUITARY	SPRINGER	1386-341X	1573-7403	3.4	3.7	Q2	75/191
Cardiovascular Therapeutics	CARDIOVASC THER	WILEY	1755-5914	1755-5922	3.4	3.3	Q2	62/230
CLINICAL AUTONOMIC RESEARCH	CLIN AUTON RES	SPRINGER HEIDELBERG	0959-9851	1619-1560	3.4	4.2	Q2	78/285
APPLIED ERGONOMICS	APPL ERGON	ELSEVIER SCI LTD	0003-6870	1872-9126	3.4	4.0	Q2	7/24
ChemMedChem	CHEMMEDCHEM	WILEY-V C H VERLAG GMBH	1860-7179	1860-7187	3.4	3.4	Q2	113/352
INFRARED PHYSICS & TECHNOLOGY	INFRARED PHYS TECHN	ELSEVIER	1350-4495	1879-0275	3.4	3.4	Q2	39/125
Innovation & Management Review	INNOV MANAG REV	EMERALD GROUP PUBLISHING LTD	2515-8961	2515-8961	3.4	2.9	Q2	167/420
Biochemistry Research International	BIOCHEM RES INT	WILEY	2090-2247	2090-2255	3.4	3.5	Q2	26/86
Global Mental Health	GLOB MENT HEALTH	CAMBRIDGE UNIV PRESS	2054-4251	2054-4251	3.4	3.8	Q2	79/288
Public Health Research & Practice	PUBLIC HEALTH RES PR	SAX INST	2204-2091	2204-2091	3.4	3.1	Q1	78/419
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS	WORLD WIDE WEB	SPRINGER	1386-145X	1573-1413	3.4	2.9	Q2	34/128
Journal of Family Business Management	J FAM BUS MANAG	EMERALD GROUP PUBLISHING LTD	2043-6238	2043-6246	3.4	3.7	Q2	167/420
MOLECULAR PLANT-MICROBE INTERACTIONS	MOL PLANT MICROBE IN	AMER PHYTOPATHOLOGICAL SOC	0894-0282	1943-7706	3.4	3.4	Q1	68/273
PHYTOCHEMISTRY	PHYTOCHEMISTRY	PERGAMON-ELSEVIER SCIENCE LTD	0031-9422	1873-3700	3.4	3.6	Q1	68/273
BMC CANCER	BMC CANCER	BMC		1471-2407	3.4	3.7	Q2	118/326
Journal of Hepatocellular Carcinoma	J HEPATOCELL CARCINO	DOVE MEDICAL PRESS LTD		2253-5969	3.4	4.0	Q2	118/326
Life Metabolism	LIFE METAB	OXFORD UNIV PRESS		2755-0230	3.4	3.4	Q2	75/191
BRITISH JOURNAL OF RADIOLOGY	BRIT J RADIOL	OXFORD UNIV PRESS	0007-1285	1748-880X	3.4	3.3	Q1	44/212
Accounting Forum	ACCOUNT FORUM	TAYLOR & FRANCIS LTD	0155-9982	1467-6303	3.4	4.0	Q1	57/241
ACTA BIOCHIMICA ET BIOPHYSICA SINICA	ACTA BIOCH BIOPH SIN	SCIENCE PRESS	1672-9145	1745-7270	3.4	3.5	Q1	18/79
Aeolian Research	AEOLIAN RES	ELSEVIER SCI LTD	1875-9637	2212-1684	3.4	3.2	Q2	18/67
Biologics-Targets & Therapy	BIOL-TARGETS THER	DOVE MEDICAL PRESS LTD	1177-5475	1177-5491	3.4	5.7	Q2	75/195
Ecosystem Health and Sustainability	ECOSYST HEALTH SUST	AMER ASSOC ADVANCEMENT SCIENCE	2096-4129	2332-8878	3.4	4.2	Q2	52/200
FOOD AND BIOPRODUCTS PROCESSING	FOOD BIOPROD PROCESS	ELSEVIER	0960-3085	1744-3571	3.4	4.2	Q2	66/177
International Journal of Structural Stability and Dynamics	INT J STRUCT STAB DY	WORLD SCIENTIFIC PUBL CO PTE LTD	0219-4554	1793-6764	3.4	3.0	Q2	47/182
Journal of Applied and Computational Mechanics	J APPL COMPUT MECH	"SHAHID CHAMRAN UNIV AHVAZ, IRAN"	2383-4536	2383-4536	3.4	2.4	Q2	51/171
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION	J AM PLANN ASSOC	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0194-4363	1939-0130	3.4	5.6	Q1	12/76
PSYCHIATRIC CLINICS OF NORTH AMERICA	PSYCHIAT CLIN N AM	W B SAUNDERS CO-ELSEVIER INC	0193-953X	1558-3147	3.4	2.9	Q2	79/288
Research and Practice in Thrombosis and Haemostasis	RES PRACT THROMB HAE	ELSEVIER		2475-0379	3.4	3.5	Q2	26/98
Asia-Pacific Psychiatry	ASIA-PAC PSYCHIAT	WILEY	1758-5864	1758-5872	3.4	3.2	Q2	79/288
EVOLUTIONARY COMPUTATION	EVOL COMPUT	MIT PRESS	1063-6560	1530-9304	3.4	5.1	Q2	38/147
THROMBOSIS RESEARCH	THROMB RES	PERGAMON-ELSEVIER SCIENCE LTD	0049-3848	1879-2472	3.4	3.6	Q2	26/98
Geobiology	GEOBIOLOGY	WILEY	1472-4677	1472-4669	3.4	3.6	Q1	22/107
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY	J GASTROEN HEPATOL	WILEY	0815-9319	1440-1746	3.4	3.6	Q2	47/147
ANNALS OF MICROBIOLOGY	ANN MICROBIOL	BMC	1590-4261	1869-2044	3.4	3.8	Q2	66/177
Biophysics Reviews	BIOPHYS REV-US	AIP Publishing	2688-4089	2688-4089	3.4	3.4	Q1	18/79
Climate and Development	CLIM DEV	TAYLOR & FRANCIS LTD	1756-5529	1756-5537	3.4	4.7	Q1	11/65
Journal of Diabetes Research	J DIABETES RES	WILEY	2314-6745	2314-6753	3.4	4.4	Q2	75/195
JOURNAL OF IMMUNOLOGY	J IMMUNOL	AMER ASSOC IMMUNOLOGISTS	0022-1767	1550-6606	3.4	3.9	Q2	85/183
Life-Basel	LIFE-BASEL	MDPI		2075-1729	3.4	3.4	Q1	22/107
Bosnian Journal of Basic Medical Sciences	BOSNIAN J BASIC MED	ASSOC BASIC MEDICAL SCI FEDERATION BOSNIA & HERZEGOVINA SARAJEVO	1512-8601	1840-4812	3.4	3.6	Q2	75/195
DIABETIC MEDICINE	DIABETIC MED	WILEY	0742-3071	1464-5491	3.4	3.6	Q2	75/191
PATHOLOGY INTERNATIONAL	PATHOL INT	WILEY		1440-1827	3.4	2.3	Q1	19/90
EGYPTIAN JOURNAL OF SOIL SCIENCE	EGYPT J SOIL SCI	"NATL INFORMATION DOCUMENTATION CENT, ACAD SCIENTIFIC RESEARCH & TECHNOLOGY"	0302-6701	2357-0369	3.4	2.5	Q2	19/48
International Journal of Software Science and Computational Intelligence-IJSSCI	INT J SOFTW SCI COMP	IGI GLOBAL	1942-9045	1942-9037	3.4	2.3	Q2	34/128
PHARMACOTHERAPY	PHARMACOTHERAPY	WILEY	0277-0008	1875-9114	3.4	3.6	Q2	113/352
Therapeutic Advances in Drug Safety	THER ADV DRUG SAF	SAGE PUBLICATIONS LTD	2042-0986	2042-0994	3.4	4.0	Q2	113/352
EUROPEAN JOURNAL OF MEDICAL RESEARCH	EUR J MED RES	BMC	0949-2321	2047-783X	3.4	3.4	Q2	75/195
HARVARD REVIEW OF PSYCHIATRY	HARVARD REV PSYCHIAT	LIPPINCOTT WILLIAMS & WILKINS	1067-3229	1465-7309	3.4	4.5	Q2	79/288
Journal of Neurorestoratology	J NEURORESTORATOLOGY	TSINGHUA UNIV PRESS	2324-2426	2324-2426	3.4	2.2	Q2	78/285
RESEARCH IN MICROBIOLOGY	RES MICROBIOL	ELSEVIER	0923-2508	1769-7123	3.4	3.7	Q2	71/163
Transportmetrica B-Transport Dynamics	TRANSPORTMETRICA B	TAYLOR & FRANCIS LTD	2168-0566	2168-0582	3.4	3.3	Q2	29/77
IEEE Journal of Radio Frequency Identification	IEEE J RADIO FREQ ID	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC		2469-7281	3.4	3.0	Q2	137/366
JOURNAL OF NEUROSCIENCE RESEARCH	J NEUROSCI RES	WILEY	0360-4012	1097-4547	3.4	4.0	Q2	116/314
Therapeutic Advances in Gastroenterology	THER ADV GASTROENTER	SAGE PUBLICATIONS LTD		1756-2848	3.4	3.9	Q2	47/147
Expert Review of Neurotherapeutics	EXPERT REV NEUROTHER	TAYLOR & FRANCIS LTD	1473-7175	1744-8360	3.4	3.9	Q2	78/285
IEEE Microwave and Wireless Technology Letters	IEEE MICROW WIREL TE	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	2771-957X	2771-9588	3.4	3.4	Q2	137/366
Sexual Medicine Reviews	SEX MED REV	OXFORD UNIV PRESS	2050-0513	2050-0521	3.4	4.5	Q1	25/133
BRQ-Business Research Quarterly	BRQ-BUS RES Q	SAGE PUBLICATIONS INC	2340-9444	2340-9444	3.4	4.5	Q2	167/420
Current Opinion in Critical Care	CURR OPIN CRIT CARE	LIPPINCOTT WILLIAMS & WILKINS	1070-5295	1531-7072	3.4	3.2	Q2	16/62
JOURNAL OF FOOD SCIENCE	J FOOD SCI	WILEY	0022-1147	1750-3841	3.4	4.1	Q2	72/181
Reproduction and Fertility	REPROD FERTIL	BIOSCIENTIFICA LTD		2633-8386	3.4	3.7	Q1	10/42
Therapeutic Advances in Infectious Disease	THER ADV INFECT DIS	SAGE PUBLICATIONS LTD	2049-9361	2049-937X	3.4	3.7	Q2	39/137
Nanotoxicology	NANOTOXICOLOGY	TAYLOR & FRANCIS LTD	1743-5390	1743-5404	3.4	4.2	Q2	34/106
Neurodegenerative Disease Management	NEURODEGENER DIS MAN	TAYLOR & FRANCIS LTD	1758-2024	1758-2032	3.4	3.3	Q2	78/285
World Journal of Psychiatry	WORLD J PSYCHIATR	BAISHIDENG PUBLISHING GROUP INC	2220-3206	2220-3206	3.4	4.0	Q2	79/288
Future Medicinal Chemistry	FUTURE MED CHEM	TAYLOR & FRANCIS LTD	1756-8919	1756-8927	3.4	3.7	Q2	36/72
INTERNATIONAL DAIRY JOURNAL	INT DAIRY J	ELSEVIER SCI LTD	0958-6946	1879-0143	3.4	3.6	Q2	72/181
International Journal of Construction Management	INT J CONSTR MANAG	TAYLOR & FRANCIS LTD	1562-3599	2331-2327	3.4	4.2	Q2	26/95
Breast Cancer-Targets and Therapy	BREAST CANCER-TARGET	DOVE MEDICAL PRESS LTD	1179-1314	1179-1314	3.4	4.0	Q2	118/326
COMPUTER SPEECH AND LANGUAGE	COMPUT SPEECH LANG	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	0885-2308	1095-8363	3.4	3.7	Q2	87/204
Current Oncology	CURR ONCOL	MDPI	1198-0052	1718-7729	3.4	3.3	Q2	118/326
MINDS AND MACHINES	MIND MACH	SPRINGER	0924-6495	1572-8641	3.4	9.4	Q2	87/204
INTERNATIONAL REVIEW OF PSYCHIATRY	INT REV PSYCHIATR	TAYLOR & FRANCIS LTD	0954-0261	1369-1627	3.4	3.8	Q2	79/288
MACROMOLECULAR RESEARCH	MACROMOL RES	POLYMER SOC KOREA	1598-5032	2092-7673	3.4	2.3	Q2	40/94
International Journal of Gender and Entrepreneurship	INT J GEND ENTREP	EMERALD GROUP PUBLISHING LTD	1756-6266	1756-6274	3.4	4.6	Q2	129/316
Physical Review Materials	PHYS REV MATER	AMER PHYSICAL SOC	2475-9953	2475-9953	3.4	3.7	Q2	224/460
POLYMERS FOR ADVANCED TECHNOLOGIES	POLYM ADVAN TECHNOL	WILEY	1042-7147	1099-1581	3.4	3.5	Q2	40/94
RNA Biology	RNA BIOL	TAYLOR & FRANCIS INC	1547-6286	1555-8584	3.4	3.9	Q2	137/319
Animal Models and Experimental Medicine	ANIM MODEL EXP MED	WILEY	2096-5451	2576-2095	3.4	3.8	Q2	75/195
Breathe	BREATHE	EUROPEAN RESPIRATORY SOC JOURNALS LTD	1810-6838	2073-4735	3.4	3.2	Q2	29/108
Cognition Technology & Work	COGN TECHNOL WORK	SPRINGER LONDON LTD	1435-5558	1435-5566	3.4	3.6	Q2	7/24
Journal of Electronic Commerce Research	J ELECTRON COMMER RE	CALIFORNIA STATE UNIV	1526-6133	1938-9027	3.4	4.7	Q2	129/316
JOURNAL OF HUMAN HYPERTENSION	J HUM HYPERTENS	SPRINGERNATURE	0950-9240	1476-5527	3.4	2.8	Q2	27/98
BUILDING RESEARCH AND INFORMATION	BUILD RES INF	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0961-3218	1466-4321	3.4	4.2	Q2	26/95
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS	J INTELL INF SYST	SPRINGER	0925-9902	1573-7675	3.4	3.0	Q2	101/258
Oxford Open Energy	OXF OPEN ENERGY	OXFORD UNIV PRESS		2752-5082	3.4	3.4	Q2	77/191
Presse Medicale	PRESSE MED	MASSON EDITEUR	0755-4982	2213-0276	3.4	2.3	Q1	56/332
Food & Nutrition Research	FOOD NUTR RES	SWEDISH NUTRITION FOUNDATION-SNF	1654-6628	1654-661X	3.4	3.8	Q2	44/112
Journal of Information Display	J INFORM DISPLAY	TAYLOR & FRANCIS LTD	1598-0316	2158-1606	3.4	3.6	Q2	224/460
Environmental Systems Research	ENVIRON SYST RES	SPRINGER HEIDELBERG		2193-2697	3.4		Q2	170/374
JOURNAL OF THE INDIAN CHEMICAL SOCIETY	J INDIAN CHEM SOC	ELSEVIER	0019-4522		3.4	2.3	Q2	100/239
International Journal of Environmental Science and Technology	INT J ENVIRON SCI TE	SPRINGER	1735-1472	1735-2630	3.4	3.3	Q2	170/374
CELL CYCLE	CELL CYCLE	TAYLOR & FRANCIS INC	1538-4101	1551-4005	3.4	3.5	Q3	107/204
Expert Opinion on Drug Metabolism & Toxicology	EXPERT OPIN DRUG MET	TAYLOR & FRANCIS LTD	1742-5255	1744-7607	3.4	4.3	Q2	34/106
EARTH	EARTH-BASEL	MDPI		2673-4834	3.4	3.0	Q2	75/258
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS	J BIOMED MATER RES B	WILEY	1552-4973	1552-4981	3.4	3.4	Q2	56/124
PROTEIN ENGINEERING DESIGN & SELECTION	PROTEIN ENG DES SEL	OXFORD UNIV PRESS	1741-0126	1741-0134	3.4	2.6	Q2	66/177
Review of Education	REV EDUC-US	WILEY	2049-6613	2049-6613	3.4	3.9	Q1	70/756
Energy Science & Engineering	ENERGY SCI ENG	WILEY		2050-0505	3.4	3.6	Q3	109/182
JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS	J THERMOPLAST COMPOS	SAGE PUBLICATIONS LTD	0892-7057	1530-7980	3.4	3.5	Q2	15/34
Seed Biology	SEED BIOL	Maximum Academic Press		2834-5495	3.4	3.4	Q1	68/273
ChemEngineering	CHEMENGINEERING	MDPI		2305-7084	3.4	3.1	Q2	77/175
PHYSICS-USPEKHI	PHYS-USP+	Uspekhi Fizicheskikh Nauk	1063-7869	1468-4780	3.4	2.8	Q2	29/114
Hague Journal on the Rule of Law	HAGUE J RULE LAW	SPRINGER WIEN	1876-4045	1876-4053	3.3	2.8	Q1	8/434
METAPHOR AND SYMBOL	METAPHOR SYMBOL	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1092-6488	1532-7868	3.3	2.7	Q1	25/303
PUBLIC UNDERSTANDING OF SCIENCE	PUBLIC UNDERST SCI	SAGE PUBLICATIONS LTD	0963-6625	1361-6609	3.3	4.1	Q1	4/112
JOURNAL OF CULTURAL HERITAGE	J CULT HERIT	ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER	1296-2074	1778-3674	3.3	3.6	Q1	8/44
Transnational Environmental Law	TRANSNATL ENVIRON LA	CAMBRIDGE UNIV PRESS	2047-1025	2047-1033	3.3	3.6	Q1	8/434
WORLD BANK RESEARCH OBSERVER	WORLD BANK RES OBSER	OXFORD UNIV PRESS	0257-3032	1564-6971	3.3	7.3	Q1	104/617
HUMAN COMMUNICATION RESEARCH	HUM COMMUN RES	OXFORD UNIV PRESS INC	0360-3989	1468-2958	3.3	4.5	Q1	22/227
JOURNAL OF QUANTITATIVE CRIMINOLOGY	J QUANT CRIMINOL	SPRINGER/PLENUM PUBLISHERS	0748-4518	1573-7799	3.3	4.2	Q1	6/111
Information Communication & Society	INFORM COMMUN SOC	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1369-118X	1468-4462	3.3	5.6	Q1	18/219
JOURNAL OF SCIENTIFIC COMPUTING	J SCI COMPUT	SPRINGER/PLENUM PUBLISHERS	0885-7474	1573-7691	3.3	3.1	Q1	12/343
POLITICAL BEHAVIOR	POLIT BEHAV	SPRINGER/PLENUM PUBLISHERS	0190-9320	1573-6687	3.3	4.8	Q1	41/322
Revista de Psicodidactica	REV PSICODIDACT	ELSEVIER ESPANA	1136-1034	2254-4372	3.3	3.3	Q1	76/756
BRITISH JOURNAL OF SOCIOLOGY	BRIT J SOCIOL	WILEY	0007-1315	1468-4446	3.3	3.4	Q1	18/219
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	AM J AGR ECON	WILEY	0002-9092	1467-8276	3.3	4.7	Q1	104/617
CHILD MALTREATMENT	CHILD MALTREATMENT	SAGE PUBLICATIONS INC	1077-5595	1552-6119	3.3	4.0	Q1	3/94
MEDIA CULTURE & SOCIETY	MEDIA CULT SOC	SAGE PUBLICATIONS LTD	0163-4437	1460-3675	3.3	4.0	Q1	18/219
Physical Therapy	PHYS THER	OXFORD UNIV PRESS INC	0031-9023	1538-6724	3.3	3.9	Q1	13/173
Educational Management Administration & Leadership	EDUC MANAG ADM LEAD	SAGE PUBLICATIONS LTD	1741-1432	1741-1440	3.3	4.2	Q1	76/756
Canadian Journal of Anesthesia-Journal canadien d anesthesie	CAN J ANESTH	SPRINGER	0832-610X	1496-8975	3.3	3.8	Q1	12/68
JCMS-Journal of Common Market Studies	JCMS-J COMMON MARK S	WILEY	0021-9886	1468-5965	3.3	3.1	Q1	16/169
Disability and Health Journal	DISABIL HEALTH J	ELSEVIER SCIENCE INC	1936-6574	1876-7583	3.3	3.8	Q1	13/173
European Physical Education Review	EUR PHYS EDUC REV	SAGE PUBLICATIONS LTD	1356-336X	1741-2749	3.3	3.8	Q1	76/756
Journal of Happiness Studies	J HAPPINESS STUD	SPRINGER	1389-4978	1573-7780	3.3	4.7	Q1	21/271
Journal of Applied Physiology	J APPL PHYSIOL	AMER PHYSIOLOGICAL SOC	8750-7587	1522-1601	3.3	3.5	Q1	22/133
JOURNAL OF HEAD TRAUMA REHABILITATION	J HEAD TRAUMA REHAB	LIPPINCOTT WILLIAMS & WILKINS	0885-9701	1550-509X	3.3	3.3	Q1	13/173
JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION	J VESTIBUL RES-EQUIL	IOS PRESS	0957-4271	1878-6464	3.3	3.3	Q1	5/67
Social Psychological and Personality Science	SOC PSYCHOL PERS SCI	SAGE PUBLICATIONS INC	1948-5506	1948-5514	3.3	4.8	Q1	14/78
Fractal and Fractional	FRACTAL FRACT	MDPI		2504-3110	3.3	3.2	Q1	22/136
DEPRESSION AND ANXIETY	DEPRESS ANXIETY	WILEY	1091-4269	1520-6394	3.3	6.3	Q1	15/93
HARVARD EDUCATIONAL REVIEW	HARVARD EDUC REV	HARVARD GRADUATE SCHOOL EDUCATION	0017-8055	1943-5045	3.3	3.4	Q1	76/756
Innoeduca-International Journal of Technology and Educational Innovation	INNOEDUCA	UNIV MALAGA		2444-2925	3.3	2.1	Q1	76/756
PSYCHOLOGICAL ASSESSMENT	PSYCHOL ASSESSMENT	AMER PSYCHOLOGICAL ASSOC	1040-3590	1939-134X	3.3	4.9	Q1	34/185
ARTHRITIS CARE & RESEARCH	ARTHRIT CARE RES	WILEY	2151-464X	2151-4658	3.3	4.1	Q2	17/58
Health Economics Policy and Law	HEALTH ECON POLICY L	CAMBRIDGE UNIV PRESS	1744-1331	1744-134X	3.3	2.7	Q1	15/124
Motivation Science	MOTIV SCI	EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC	2333-8113	2333-8121	3.3	4.1	Q1	32/221
BRITISH JOURNAL OF PSYCHOLOGY	BRIT J PSYCHOL	WILEY	0007-1269	2044-8295	3.3	3.7	Q1	32/221
PERMAFROST AND PERIGLACIAL PROCESSES	PERMAFROST PERIGLAC	WILEY	1045-6740	1099-1530	3.3	4.4	Q1	4/61
Journal of Minimally Invasive Gynecology	J MINIM INVAS GYN	ELSEVIER SCIENCE INC	1553-4650	1553-4669	3.3	3.8	Q1	19/140
International Journal of Mental Health Nursing	INT J MENT HEALTH NU	WILEY	1445-8330	1447-0349	3.3	4.6	Q1	16/192
ADVANCES IN HEALTH SCIENCES EDUCATION	ADV HEALTH SCI EDUC	SPRINGER	1382-4996	1573-1677	3.3	4.0	Q1	76/756
Implementation Science Communications	IMPLEMENT SCI COMMUN	SPRINGERNATURE		2662-2211	3.3	3.5	Q1	15/124
ANNALS OF BEHAVIORAL MEDICINE	ANN BEHAV MED	OXFORD UNIV PRESS INC	0883-6612	1532-4796	3.3	4.2	Q1	32/221
Journal of the European Economic Association	J EUR ECON ASSOC	OXFORD UNIV PRESS	1542-4766	1542-4774	3.3	4.6	Q1	104/617
Behavioral and Brain Functions	BEHAV BRAIN FUNCT	BMC		1744-9081	3.3	4.4	Q1	7/57
Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology	PALAEONTOGR ABT B	E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG	2194-900X	2509-839X	3.3	1.9	Q1	1/56
RISK ANALYSIS	RISK ANAL	WILEY	0272-4332	1539-6924	3.3	4.1	Q1	11/68
NEW LEFT REVIEW	NEW LEFT REV	NEW LEFT REV LTD	0028-6060	2044-0480	3.3	2.5	Q1	21/271
Economic Systems	ECON SYST	ELSEVIER	0939-3625	1878-5433	3.3	3.4	Q1	104/617
Journal of ISAKOS Joint Disorders & Orthopaedic Sports Medicine	J ISAKOS	ELSEVIER	2059-7754	2059-7762	3.3	3.0	Q1	22/139
PEDIATRIC DRUGS	PEDIATR DRUGS	ADIS INT LTD	1174-5878	1179-2019	3.3	3.8	Q1	21/191
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY	AM J PHYSIOL-GASTR L	AMER PHYSIOLOGICAL SOC	0193-1857	1522-1547	3.3	4.3	Q2	22/87
PLASMA SOURCES SCIENCE & TECHNOLOGY	PLASMA SOURCES SCI T	IOP Publishing Ltd	0963-0252	1361-6595	3.3	3.4	Q1	7/41
PSYCHOLOGY OF SPORT AND EXERCISE	PSYCHOL SPORT EXERC	ELSEVIER	1469-0292	1878-5476	3.3	4.4	Q1	15/93
Journal of Academic Ethics	J ACAD ETHICS	SPRINGER	1570-1727	1572-8544	3.3	2.8	Q1	9/77
HUMAN BRAIN MAPPING	HUM BRAIN MAPP	WILEY	1065-9471	1097-0193	3.3	4.4	Q1	46/212
ANIMAL REPRODUCTION SCIENCE	ANIM REPROD SCI	ELSEVIER	0378-4320	1873-2232	3.3	2.6	Q1	11/170
